System,Sub-System,Diagnostic Code,Condition,Regulation,Link
"Musculoskeletal System","Amputations: Lower Extremity","5166","Forefoot amputation, proximal to metatarsal bones","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5167","Foot, loss of use of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5170","Toes, all, amputation of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5171","Toe, great, amputation","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5172","Toes, other than great, amputation","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Amputations: Lower Extremity","5173","Toes, three or more, amputation","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Shoulder and Arm","5200","Scapulohumeral articulation, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Shoulder and Arm","5201","Arm, limitation of motion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Shoulder and Arm","5202","Humerus, other impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Shoulder and Arm","5203","Clavicle or scapula, impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5205","Elbow, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5206","Forearm, limitation of flexion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5207","Forearm, limitation of extension","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5208","Forearm, flexion limited","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5209","Elbow, other impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5210","Radius and ulna, nonunion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5211","Ulna, impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5212","Radius, impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Elbow and Forearm","5213","Supination and pronation, impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Wrist","5214","Wrist, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Wrist","5215","Wrist, limitation of motion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5216","Five digits of one hand, unfavorable ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5217","Four digits of one hand, unfavorable ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5218","Three digits of one hand, unfavorable ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5219","Two digits of one hand, unfavorable ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5220","Five digits of one hand, favorable ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5221","Four digits of one hand, favorable ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5222","Three digits of one hand, favorable ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5223","Two digits of one hand, favorable ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5224","Thumb, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5225","Index finger, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5226","Long finger, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5227","Ring or little finger, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5228","Thumb, limitation of motion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5229","Index or long finger, limitation of motion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Limitation of Motion (Hand)","5230","Ring or little finger, limitation of motion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5235","Vertebral fracture or dislocation","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5236","Sacroiliac injury and weakness","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5237","Lumbosacral or cervical strain","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5238","Spinal stenosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5239","Spondylolisthesis or segmental instability","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5240","Ankylosing spondylitis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5241","Spinal fusion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5242","Degenerative arthritis/disc disease (spine)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5243","Intervertebral disc syndrome","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Spine","5244","Traumatic paralysis, complete","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Hip and Thigh","5250","Hip, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Hip and Thigh","5251","Thigh, limitation of extension","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Hip and Thigh","5252","Thigh, limitation of flexion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Hip and Thigh","5253","Thigh, impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Hip and Thigh","5254","Hip, flail joint","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Hip and Thigh","5255","Femur, impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Knee and Leg","5256","Knee, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Knee and Leg","5257","Knee, other impairment (instability)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Knee and Leg","5258","Cartilage, semilunar, dislocated","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Knee and Leg","5259","Cartilage, semilunar, removal","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Knee and Leg","5260","Leg, limitation of flexion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Knee and Leg","5261","Leg, limitation of extension","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Knee and Leg","5262","Tibia and fibula, impairment","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Knee and Leg","5263","Genu recurvatum","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5269","Plantar fasciitis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Ankle","5270","Ankle, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Ankle","5271","Ankle, limited motion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Ankle","5272","Subastragalar or tarsal joint, ankylosis","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Ankle","5273","Os calcis or astragalus, malunion","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Ankle","5274","Astragalectomy","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","Shortening of the Lower Extremity","5275","Bones, of the lower extremity (Shortening)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5276","Flatfoot, acquired","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5277","Weak foot, bilateral","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5278","Claw foot (pes cavus), acquired","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5279","Metatarsalgia, anterior (Morton’s disease)","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5280","Hallux valgus","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5281","Hallux rigidus","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5282","Hammer toe","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5283","Tarsal or metatarsal bones","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Foot","5284","Foot injuries, other","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Skull","5296","Skull, Loss of part of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Ribs","5297","Ribs, Removal of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Musculoskeletal System","The Coccyx","5298","Coccyx, Removal of","38 CFR § 4.71a","https://www.ecfr.gov/current/title-38/section-4.71a"
"Muscle Injuries","Shoulder Girdle and Arm","5301","Muscle Group I (Shoulder Girdle)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Shoulder Girdle and Arm","5302","Muscle Group II (Shoulder Girdle)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Shoulder Girdle and Arm","5303","Muscle Group III (Shoulder Girdle)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Shoulder Girdle and Arm","5304","Muscle Group IV (Shoulder Girdle)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Shoulder Girdle and Arm","5305","Muscle Group V (Elbow)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Shoulder Girdle and Arm","5306","Muscle Group VI (Elbow)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Forearm and Hand","5307","Muscle Group VII (Forearm/Hand)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Forearm and Hand","5308","Muscle Group VIII (Forearm/Hand)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Forearm and Hand","5309","Muscle Group IX (Forearm/Hand)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Foot and Leg","5310","Muscle Group X (Foot/Leg)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
"Muscle Injuries","Foot and Leg","5311","Muscle Group XI (Foot/Leg)","38 CFR § 4.73","https://www.ecfr.gov/current/title-38/section-4.73"
